Investor name,Website,Linkedin,Individual LinkedIn,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
AgriTech Hubs,http://agritechhub.com/,https://www.linkedin.com/company/10666110?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A10666110%2Cidx%3A2-1-2%2CtarId%3A1463664586452%2Ctas%3Aagritech%20hub%20,,Poland,Poland,2. Prototype,,VC,,
Agroecology Capital,http://agroecologycapital.com/,https://www.linkedin.com/company/agroecology-capital/,,,,"2. Prototype,3. Early Revenue",,VC,,
Agronomics,https://agronomics.im/,,,UK,UK,3. Early Revenue,,VC,,
AgTech Innovation Partners,http://www.agtechinnovation.com/,,,,,,,,,
Ahren Innovation Capital,http://www.ahreninnovationcapital.com/,https://www.linkedin.com/organization-guest/company/ahren-innovation-capital,,UK,"USA,UK","2. Prototype,3. Early Revenue",,VC,,
AI Seed Fund,https://aiseed.vc/,https://www.linkedin.com/in/johnbspindler/,,UK,UK,2. Prototype,,VC,,
AI2 Allen Institute for Artificial Intelligence Incubator,https://www.ai2incubator.com/,,,,,"2. Prototype,3. Early Revenue",,"Incubator, Accelerator",,
AI8 Ventures,https://www.ai8ventures.com/,https://www.linkedin.com/company/alphaimpact8.com,,,,,,,,
AiiM Partners,https://www.aiimpartners.com/,https://www.linkedin.com/company/aiimpartners,,,,,,Other,,
Air Liquide Venture Capital ALIAD,https://www.airliquide.com/fr/groupe/aliad-venture-capital,https://www.linkedin.com/company/airliquide,,France,"USA,France","3. Early Revenue,4. Scaling",,Corporate VC,"$1,000,000 ",
Air Street Capital,https://www.airstreet.com/,https://www.linkedin.com/company/airstreetcapital/,,UK,"USA,UK",2. Prototype,,VC,"$150,000 ",
Airbridge Equity Partners,https://airbridge.nl/,https://www.linkedin.com/company/airbridge-equity-partners/,,"Amstelplein 48, Amsterdam, Noord-Holland 1096BE, The Netherlands",Netherlands,3. Early Revenue,"We invest in companies that have proven their commercial traction with locked-in revenue. We provide growth capital as well as replacements and have the ability to service a cap table over time.
Our ticket size varies from EUR 1m - 5m initially with the ability to stay active over time.

As an Amsterdam-based investment firm, we support firms with their HQ and a significant portion of their operations in Europe, regardless of whether they end up venturing outside of it.

We especially focus on companies with competitively defensible positions in B2B or B2C value chains in growing markets with a long-term outlook.",VC,"$1,200,000 ",
Airbus Ventures,https://airbusventures.vc/,https://www.linkedin.com/showcase/airbus,,"Blagnac, Midi-Pyrenees, France","Israel,USA,Canada,France","3. Early Revenue,4. Scaling",,Corporate VC,"$1,000,000 ",
Ajinomoto,https://www.ajinomoto.com/?scid=pr_ot_pc_cojphead_global,https://www.linkedin.com/company/ajinomoto-co--inc-/,,,Japan,,,Corporate VC,,
Akatsuki,https://en.aktsk.jp/,,,,Japan,,,Corporate VC,,
Akkadian Ventures,https://www.akkadianventures.com/,,,,,,,VC,,
Akula Energy Ventures,http://www.akulaenergy.com/,,,,,,,,,
Alabaster,https://www.alabaster.com/,https://www.linkedin.com/company/alabaster-global/,,USA,"Israel,USA,Canada,Australia,Japan","2. Prototype,3. Early Revenue",,VC,,
Alamo Angels,http://alamoangels.com/,https://www.linkedin.com/company/alamo-angels/,,,,,,Angel network,,
Alante Capital,https://www.alantecapital.com/,http://linkedin.com/company/alantecapital/,,,,,,,,
Alaya Capital Partners,https://alaya-capital.com/,https://www.linkedin.com/company/alaya-business-accelerator-s-a-/,,,,,,,,
Albion Capital,https://www.albion.capital/,https://www.linkedin.com/company/albion.capital,,,,,,VC,,
AlbionVC,https://www.albion.vc/,https://www.linkedin.com/company/albionvc/,,UK,"USA,UK",3. Early Revenue,,VC,,
Album VC,https://www.album.vc/,https://www.linkedin.com/in/diogomyrrha/,,,,"2. Prototype,3. Early Revenue",,VC,,
Alchemist Accelerator,http://www.alchemistaccelerator.com/,https://www.linkedin.com/company/alchemist-accelerator/,,,,"2. Prototype,3. Early Revenue",,VC,,
Alchemy Ventures,http://www.alchemventures.com.au,,,Australia,Australia,,,VC,,
Alderley Park Ventures,https://biocity.co.uk/investment/,,,UK,UK,3. Early Revenue,,VC,,
Aletra Capital Partners,https://aletracapitalpartners.com/,,,"Leemzeulder 14, 1251 AP Laren, Netherlands","Singapore,Netherlands,Canada,USA","3. Early Revenue,4. Scaling,5. Growth",We invest in B2B enterprise/software/medtech companies. The venture should have initial revenue/product market fit (ARR> USD 1Mln) and the potential to scale globally.,VC,"$250,000 ",
Alexandria Venture,https://www.are.com/venture-investments.html,,,"San Francisco, California, United States","Israel,USA,Canada",3. Early Revenue,,Corporate VC,,
Alfabeat,https://alfabeat.com/,https://www.linkedin.com/company/alfabeat/,,"Norwida 4, 80-280 GdaÅ„sk, Poland","Poland,Estonia,Latvia,Lithuania,Czech Republic,Slovakia,Hungary,Croatia,Romania,Bulgaria,Slovenia",3. Early Revenue,"We invest in seed Enterprise Software companies from Central and Eastern Europe  with a proven track-record of helping founders raise subsequent rounds, backed by successful Enterprise Software founders who built companies worth over $50B.",VC,"$250,000 ",
AlfvÃ©n & Didrikson,https://www.alfvendidrikson.com/,https://www.linkedin.com/company/alfvendidrikson/,,Sweden,"Sweden,Norway,Finland,Denmark",,,VC,,
Algebra Ventures,https://algebraventures.com/,,,Egypt,Egypt,3. Early Revenue,,VC,,
Alibaba Capital Partners,https://www.alibabacapital.com/project/index.htm,,,"Hangzhou, Zhejiang, China",China,,,Corporate VC,,
Aligned Partners,http://www.alignedvc.com/,,,,,,,VC,,
Alinda Capital Partners,http://www.alinda.com,,,"Greenwich, Connecticut, United States",USA,,,Family office,,
Alium Capital,https://aliumcap.com/,https://www.linkedin.com/company/alium-capital/,,Australia,Australia,,,Other,"$2,000,000 ",
ALIVE Acumen Latam Impact Ventures,https://alive-ventures.com/,,,,,,,Other,,
ALIVE Israel Healthtech Fund,http://www.alivevc.com/,https://www.linkedin.com/company/alivevc/,,,,"5. Growth,6. Pre-IPO",,VC,,
All Blue Capital,https://www.allbluecapital.com/,https://ca.linkedin.com/company/allbluecap,,"Shepherd Market, London, Mayfair W1J7JY, GB","Canada,USA,UK,Ireland,Japan,China","3. Early Revenue,5. Growth,6. Pre-IPO","We invest in founders first. We search out great people, in emerging sectors who have disruptive ideas.",VC,"$500,000 ",
Allectus Capital,https://www.allectuscapital.limited/,https://www.linkedin.com/company/allectuscapital/,,"7-19 Bridge St, Sydney, NSW 2000, Australia","Australia,UK",,"We invest in Fintech, Deep Tech, Digital Health, AI & Automation.

We are normally one of the first investors to commit capital in our high conviction portfolio companies.

 

However, we invest across the capital spectrum in early, mid or late stage and across a variety of funding sizes from small to very large.

 

Our initial cheque is normally between US$0.3-$3m and we will look to support portfolio companies with further investment where they have gained relevant traction and additional guidance is beneficial.",VC,"$300,000 ",
Allegro Capital,http://www.allegro-capital.com/,,,,,,,VC,,
Alliance Entreprendre,https://www.allianceentreprendre.com/en/,,,,France,"3. Early Revenue,4. Scaling",,VC,"$1,000,000 ",
Alliance of Angels,http://www.allianceofangels.com/,https://www.linkedin.com/in/danshapiro,,,,,,Angel network,,
Alliance of Texas Angel Networks,http://www.allianceoftexasangelnetworks.com/,,,,,,,Angel network,,
Alliance Venture,https://allianceventure.com/,,,Parkveien 41B N-0258 Oslo Norway,"Norway,USA",,,Other,,
Alliance Ventures,https://www.alliance-2022.com/ventures/,https://www.linkedin.com/shareArticle?mini=true&url=https://alliancernm.com/,,"Amsterdam, Noord-Holland, The Netherlands","USA,Israel,Canada,Netherlands,France",3. Early Revenue,,Corporate VC,"$5,000,000 ",
Allianz X,https://www.allianzx.com/,https://www.linkedin.com/company/allianzx,,"MÃ¼nchen, Bayern, Germany","USA,Israel,Canada,Germany",3. Early Revenue,,Corporate VC,,
Allison Wood Ventures,http://allisonwoodventures.com,,,,,,,Corporate VC,,
Allos Ventures,http://www.allosventures.com,https://www.linkedin.com/company/allos-ventures/,,,,,,,,
Alloy Ventures,http://www.alloyventures.com/,https://www.linkedin.com/company/alloy-ventures/,,"Palo Alto, California, United States",USA,3. Early Revenue,,VC,"$500,000 ",
AllVentures,http://allventures.net/,https://www.linkedin.com/company/all-ventures-group/,,,,,,Angel network,,
Ally Bridge Group,http://www.ally-bridge.com/,,,,Hong Kong,,,VC,,
Almanac Investments,https://www.almanacinsights.com/,,,,,,,,,
Almaz Capital,https://www.almazcapital.com/,https://www.linkedin.com/company/almaz-capital-partners/,,USA,USA,3. Early Revenue,,VC,,
Almi Invest,https://www.almi.se/en/in-english/,https://www.linkedin.com/company/almi-invest/,,"Stockholm, Sweden",Sweden,3. Early Revenue,"We invest in Swedish startups (not older than 7 years) that can take a position on the global market

Tech: Enterprise and Consumer Software, Mediatech, Data & Security, eCommerce, Fintech, VR/AR, IoT, Gaming, HR Tech

Life Science: Medtech, Drug Development, eHealth

 

Cleantech: Renewable Energy, Energy, Recycling Systems

Industry: Industrial Equipment, Materials, Agritech, 3D-printing

How much can Almi Invest invest?

Almi Invest invests SEK 1-10 million per company.  

Our national GreenTech fund invests SEK 5-30 million in GreenTech companies that focus on reducing CO2. 

We are always minority owners.",VC,"$120,000 ",
Alpaca VC,https://alpaca.vc/,https://www.linkedin.com/company/alpacavc/,,"505 5th Ave, 22nd Floor, New York, NY, 10017","USA,Canada","3. Early Revenue,2. Prototype,1. Idea or Patent,4. Scaling","We invest in Seed rounds in companies reshaping the real world. We prefer to lead. 

We believe that layering technology over daily life transforms how the real world works. So we invest in the people, products and processes that power commerce in the physical world. Together with founders, we kickstart real change with outsized impact. ",VC,"$500,000 ",
Alpha Bridge Ventures,https://alphabridge.squarespace.com/,https://www.linkedin.com/in/brianzhao1/,,,,,,,,
Alpha Edison,https://www.alphaedison.com/,,,,,"3. Early Revenue,4. Scaling",,VC,,
Alpha Intelligence,https://aicapital.ai/,https://www.linkedin.com/company/alpha-intelligence-capital/,,Luxembourg,"Israel,USA,Canada",3. Early Revenue,,VC,,
Alpha Square Group,http://alphasquaregroup.com/,https://www.linkedin.com/company/alpha-square-group/,,"350 5th Ave, New York, 10118, USA",USA,"6. Pre-IPO,5. Growth,4. Scaling","We invest in Series B to Pre-IPO companies with cheques from $3-15M, and often invest in multiple follow-on rounds as the business grows 

We primarily invest in top-performing tech-enabled startups under enterprise SaaS and Fintech sectors 

Rapid revenue growth and a run rate of at least $5M; exciting unit economics that demonstrate the potential to be highly profitable at scale",Family office,"$3,000,000 ",
Alpha Venture Partners,http://www.alphavp.com/,https://www.linkedin.com/company/alpha-venture-partners/?viewAsMember=true,,,,"3. Early Revenue,4. Scaling",,VC,,
AlphaPrime Ventures,https://alphaprime.com/,,,,,,,VC,,
Alpine Meridian Ventures,http://www.alpinemeridian.com/,,,,USA,,,Other,,
Alsace Business Angels,http://www.alsacebusinessangels.com/,https://www.linkedin.com/company/alsace-business-angels/,,"9 Boulevard Gonthier d'Andernach, Illkirch-Graffenstaden, Alsace / Bas-Rhin 67400, FR",France,"2. Prototype,3. Early Revenue,4. Scaling",We invest in Alsace based startups ,Angel network,"$60,000 ",
Alsop Louie Partners,https://www.alsop-louie.com/,,,"San Francisco, California, United States",USA,,,Other,,
Alstin Capital,https://www.alstincapital.de/,https://www.linkedin.com/company/alstincapital,,"Maximilianstr. 34, 80539 MÃ¼nchen","Austria,Belgium,Denmark,Estonia,Czech Republic,Finland,France,Germany,Greece,Iceland,Ireland,Italy,Latvia,Liechtenstein,Luxembourg,Lithuania,Netherlands,Norway,Poland,Portugal,Spain,Switzerland,Ukraine,Israel,UK,Romania,Hungary,Slovakia,Serbia","4. Scaling,5. Growth","We invest in rapidly growing technology companies that have the potential to leverage the significant market potential of the future and become market leaders. We do not solely invest in convincing technology, but above all in the entrepreneurs behind the technology. We support our entrepreneurs with capital and know-how so that they can grow faster and more successfully. The basis of our investment is the conviction that entrepreneurial know-how, long-term transaction experience, international networks, and commercial excellence are the success factors for long-term growth. ",VC,"$1,200,000 ",
Altair Capital,https://altair.vc/,,,Israel ,"USA,Israel,Canada","2. Prototype,3. Early Revenue",,VC,,
Altamira,https://altamira.pl/en/,https://www.linkedin.com/company/altamira-vc/about/,,"ul. Orla 6B/2  00-143 Warsaw, Poland",Poland,3. Early Revenue,"We do not invest in start-ups, ie. we do not invest at pre-seed or seed stages

No revenue â€“ no investment

We do not invest in internet ventures

We do not invest in majority shareholdings

We do not invest more than PLN 6 million or less than PLN 2 million

We do not invest for a quick profit (investment period 3-7 years)

We do not invest outside Poland",VC,"$500,000 ",
Alter Equity,https://www.alter-equity.com/,https://www.linkedin.com/company/alter-equity/,,"23 Rue Danielle Casanova, 75001 Paris",France,"3. Early Revenue,4. Scaling","We invest in companies whose activity contributes to resolving environmental challenges (energy efficiency and transition, circular economy, recycling, air, water and soil quality, green chemistry, organic products, biodiversity, etc.) or social challenges (education, training, employability, culture, services to vulnerable people, health, well-being, organic products, fair-trade, etc.) and commit to an ESG business plan which is an action plan to promote more responsible social, environmental and governance practices.

We invest in companies having realised at least â‚¬800k revenue over the last 12 months.

We take a Minority or majority stakes, from â‚¬1m to â‚¬30m.",VC,"$1,000,000 ",
Althelia,https://althelia.com/,https://www.linkedin.com/company/mirova,,,Netherlands,,,Other,,
Altimeter,https://www.altimeter.com/,,,,,,,,,
Altitude Life Science Ventures,https://www.altitudelsv.com/,,,,USA,,,Other,,
Altitude Partners,http://www.altitudepartners.co.uk/,,,,,,,VC,,
Altos Ventures,https://altos.vc/,,,"Menlo Park, California, United States",USA,,,Other,,
Alumni Ventures Group,https://www.avgfunds.com/,https://www.linkedin.com/company/alumniventures,,,,"2. Prototype,3. Early Revenue",,VC,,
Alven,https://www.alven.co/,https://www.linkedin.com/company/alven-vc/,,"124 rue RÃ©aumur, Paris, Ile de France 75002, FR","France,USA,Belgium,Germany,Netherlands,Sweden,Denmark,Finland,Italy,Spain,Portugal,Poland,Estonia","3. Early Revenue,4. Scaling,2. Prototype","We invest in software-enabled startups based in Europe or in the US, looking to define or create a category.",VC,"$500,000 ",
Amadeus Capital Partners,https://www.amadeuscapital.com/,,,UK,UK,3. Early Revenue,,VC,,
Amadeus Ventures,https://amadeus.com/en/ventures,,,Spain,"USA,Israel,Canada",3. Early Revenue,,Corporate VC,,
Amalfi Capital Limited,http://amalficapital.com/,,,,,"2. Prototype,3. Early Revenue",,VC,,
Amaranthine,https://amaranthine.com/,,,,,,,,,
Amasia,https://www.amasia.vc,https://www.linkedin.com/company/amasia,,,,,,,,
Amazon Alexa Fund,http://www.alexafund.com/,http://linkedin.com/company/amazon-alexa-fund,,"Seattle, Washington, United States",USA,,,Corporate VC,,
Ambassadors Impact Angels,http://www.ambassadorsimpact.com/,,,,,,,Angel network,,
Amberstone Ventures,https://amberstonelp.com/,,,,,"3. Early Revenue,4. Scaling",,VC,,
